status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic
228735667216_10155252479142217,"b'Some 2,800 files on the assassination of John F Kennedy are declassified, but President Trump withholds some others.'",b'Trump approves release of some JFK files',link,http://www.bbc.com/news/world-us-canada-41771923?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 18:50:04,1965,278,178,1728,73,43,91,6,24,0,0.28270042194092826,world,us
228735667216_10155252395882217,"b'""You could say she\'s a little overweight, but she has a pretty face, huh?""'","b""Judge calls sex abuse victim 'overweight'""",link,http://www.bbc.com/news/world-us-canada-41755852?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 18:15:08,8395,507,621,1773,47,936,138,185,5316,0,-0.4013893083660526,world,us
228735667216_10155252251612217,b'US Border Patrol have arrested a 10-year-old Mexican girl with cerebral palsy as she was on her way to hospital for emergency surgery.',b'Texas detains disabled undocumented girl',link,http://www.bbc.co.uk/news/world-us-canada-41767631?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 17:15:03,13319,1635,1891,2741,83,415,58,2448,7575,0,-0.4670573778239909,world,us
228735667216_10155252154422217,"b'The image includes the message: ""Wishing you an explosive Christmas"".'","b""N Ireland police probe 'rocket launcher snowman'""",link,http://www.bbc.co.uk/news/uk-northern-ireland-41760141?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 16:28:52,1075,129,81,680,52,52,269,7,15,0,0.37848101265822787,uk,northern
228735667216_10155251765357217,"b'They may actually be worth \xc2\xa310,000. \xf0\x9f\x98\x8e'",b'BBC Entertainment News',link,http://www.bbc.co.uk/news/uk-england-merseyside-41761334,2017-10-26 13:44:03,1575,86,1,1365,103,99,2,4,2,0,0.2357142857142857,uk,england
228735667216_10155251504667217,"b'A dead husband and wife, who spent the past 15 years in a mortuary, have been laid to rest at last.'",b'Couple who died decades ago finally buried',link,http://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-41763599?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 12:17:05,5907,160,285,4210,88,857,9,722,21,0,-0.19033588685916322,uk,scotland
228735667216_10155251389097217,"b'Actress Jordana Grolnick says the former president groped her after announcing his favourite magician was ""David Cop-a-Feel"".'","b""Bush Sr in second apology for 'sex assault'""",link,http://www.bbc.co.uk/news/world-us-canada-41766987?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 11:33:56,3361,805,312,1940,47,253,870,54,197,0,0.2343420126671358,world,us
228735667216_10155251274132217,"b""The company says it's updated the artwork after someone pointed out the yellow characters were having fun while a brown character cleaned up.""","b""Kellogg's sorry for 'racist' cereal box""",link,http://www.bbc.co.uk/newsbeat/article/41758608/kelloggs-sorry-for-racist-cereal-box,2017-10-26 10:42:44,3293,1289,345,1673,28,300,1153,39,100,0,0.3216049382716049,,
228735667216_10155251071387217,"b'The young mother went missing while jogging \xe2\x80\x94 she was found three weeks later battered, bruised and with a message ""branded"" on her.'",b'Sherri Papini kidnap: FBI release sketches of suspects',link,http://www.bbc.co.uk/news/world-us-canada-41759519?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 09:13:34,5791,181,215,3929,33,514,6,1141,168,0,-0.341031149301826,world,us
228735667216_10155250755077217,"b'Police arrest 11 suspects thought to be part of a gang that transported people from Afghanistan, across Europe and into the UK.'",b'People-smuggling raids lead to 11 UK arrests',link,http://www.bbc.co.uk/news/uk-41764002?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 06:20:59,2606,149,183,2350,65,137,13,17,24,0,0.072265625,uk,
228735667216_10155250680972217,b'This is nuts.',b'Pistachios: The other US-Iran conflict',link,http://www.bbc.co.uk/news/business-41640066?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 05:35:09,3498,117,307,3174,67,169,73,11,4,0,0.19290123456790123,business,
228735667216_10155250592312217,"b'Kenyan police have clashed with opposition supporters, some of whom have been blocking access to polling stations.'",b'Security tightened in re-run of Kenya election',link,http://www.bbc.co.uk/news/world-africa-41757612?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 04:47:22,1054,76,46,995,25,17,3,9,5,0,0.11864406779661017,world,africa
228735667216_10155250478267217,b'A political choice we can all agree on. \xf0\x9f\x90\xb6\xf0\x9f\x90\xb1\xf0\x9f\x90\xbe',"b""'First Pets': The political pets of New Zealand, Taiwan and Korea""",link,http://www.bbc.co.uk/news/world-asia-41757958?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 04:04:53,2368,77,138,2118,182,14,53,1,1,0,0.4641434262948207,world,asia
228735667216_10155250425377217,"b'At least 23 people have been killed in an explosion at a fireworks factory near the capital, Jakarta.'",b'Explosion at Indonesia fireworks factory',link,http://www.bbc.co.uk/news/world-asia-41760857?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 03:37:39,2655,83,234,1395,25,211,13,1000,11,0,-0.3861111111111111,world,asia
228735667216_10155250371417217,b'Whoooooooooooosh! \xf0\x9f\x9a\x80 \n\nThis British car is designed to go supersonic and will make its first public runs in Cornwall today.',"b""1,000mph 'Bloodhound' car set for first public runs""",link,http://www.bbc.co.uk/news/science-environment-41747995?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 03:01:13,10271,505,1391,9187,201,846,30,4,3,0,0.1033210332103321,science,environment
228735667216_10155250339167217,"b""Nick Grimshaw's Radio 1 breakfast show dips below five million.""",b'BBC Entertainment News',link,http://www.bbc.co.uk/news/entertainment-arts-41752088,2017-10-26 02:39:34,1001,599,1,688,24,17,261,10,1,0,0.43769968051118213,entertainment,arts
228735667216_10155250291047217,"b'Many people with mental health problems have to leave their jobs, with the issue being a taboo subject in many workplaces, a report suggests.'","b'Mental health costs 300,000 UK jobs a year'",link,http://www.bbc.co.uk/news/health-41740666?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 02:03:04,2256,144,505,1730,38,35,3,429,21,0,-0.3887832699619772,health,
228735667216_10155250236052217,"b""Rebecca's foster parents are Pakistani Muslim and she wants the world to know they are just like any other family.""","b""'They're my mum and dad, not terrorists'""",link,http://www.bbc.co.uk/news/uk-41722224?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 01:22:55,34048,833,1813,29315,4086,96,505,16,31,0,0.4799324038867765,uk,
228735667216_10155250209932217,b'Hundreds of thousands gather in Bangkok to pay respects to King Bhumibol Adulyadej.',b'Bidding farewell to the Thai king',link,http://www.bbc.co.uk/news/world-asia-41758197?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 01:01:20,6299,170,870,4650,287,32,14,1314,2,0,-0.3077622801697999,world,asia
228735667216_10155250065167217,b'More than 152 million years in the making.',"b""Jurassic 'marine reptile' fossil discovered in India""",link,http://www.bbc.co.uk/news/world-asia-india-41745976?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 23:07:06,12114,203,1019,10333,365,1383,26,4,3,0,0.10780460415496912,world,asia
228735667216_10155250014167217,"b'""Here to promote their new hit album, Socialist Beats,"" joked one Weibo user.'",b'Politburo boy band? Chinese internet reacts to new leaders',link,http://www.bbc.co.uk/news/world-asia-china-41744945?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 22:39:27,1642,80,79,1390,24,12,208,2,6,0,0.4444444444444444,world,asia
228735667216_10155249883112217,b'Capping a year of national mourning.',b'Thailand begins royal cremation for late king',link,http://www.bbc.co.uk/news/world-asia-41748220?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 21:22:07,4424,91,513,3353,202,25,6,837,1,0,-0.29411764705882354,world,asia
228735667216_10155249703722217,"b'Canada says Soylent, a nutritional powder for executives who are too busy to chew, is not the same as a full meal.'",b'Soylent meal replacement banned in Canada',link,http://www.bbc.com/news/world-us-canada-41753732?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 20:10:05,2546,747,461,1894,69,173,383,13,14,0,0.325920245398773,world,us
228735667216_10155249566057217,"b""Hillary Clinton's presidential campaign reportedly helped fund research that came up with unfounded claims about President Donald J. Trump.""","b""Clinton team 'funded' Trump dirty dossier""",link,http://www.bbc.co.uk/news/world-us-canada-41752908?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 19:10:09,5062,1779,889,3542,247,209,809,38,217,0,0.26348684210526313,world,us
228735667216_10155249360607217,"b'Heather Lind: George Bush Senior ""touched me from behind from his wheelchair""\n\nMr Bush\'s spokesman: Incident was an ""attempt at humour""'",b'George Bush Senior apology to Heather Lind after sex assault claim',link,http://www.bbc.co.uk/news/world-us-canada-41752488?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 17:24:57,4798,1207,273,3519,80,317,640,67,175,0,0.18686473807662235,world,us
228735667216_10155248951812217,"b'He also sent a letter saying his hero should keep the money ""because he played very well and scored"". \xf0\x9f\x91\x8c\n\n(via BBC Sport)'","b""Football fan, 9, sends \xc2\xa35 'reward' to man-of-the-match""",link,http://www.bbc.co.uk/sport/football/41741657?ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook&ns_linkname=sport&ocid=socialflow_facebook,2017-10-25 14:02:46,1763,55,58,1514,186,32,28,2,1,0,0.42369477911646586,,
228735667216_10155248845122217,"b'A company used the slogan ""Black Is Beautiful"" to advertise its toilet paper.'",b'Black toilet paper brand causes offence in Brazil',link,http://www.bbc.co.uk/news/blogs-trending-41748245?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 13:12:45,4155,1128,448,2441,62,235,1288,26,103,0,0.3561843640606768,blogs,trending
228735667216_10155248510532217,"b""Trump administration can't stop an undocumented teenage migrant from getting an abortion in Texas, court rules.""",b'Court: Undocumented teen must be allowed an abortion',link,http://www.bbc.co.uk/news/world-us-canada-41743608?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 11:23:28,4053,282,130,3463,366,38,26,30,130,0,0.19661016949152543,world,us
