status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic,
26781952138_10155957518732139,b'The Prime Minister said the country is not much aware of the practice of democracy within parties.\n\nReactions?',b'PM Modi calls for debate on internal democracy in parties',link,https://timesofindia.indiatimes.com/india/pm-modi-calls-for-debate-on-internal-democracy-in-parties/articleshow/61299972.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 7:30,346,91,14,277,15,2,50,0,2,0,0.456521739,india,pm-modi-calls-for-debate-on-internal-democracy-in-parties
26781952138_10155957426547139,b'Another avenue awaits you\xe2\x80\x94 so go solo!',"b'Techies, equip yourself with new skills and escape a permanent job'",link,https://www.gadgetsnow.com/tech-news/techies-equip-yourself-with-new-skills-and-escape-a-permanent-job/articleshow/61290466.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 7:06,96,0,12,91,5,0,0,0,0,0,0.5,,
26781952138_10155957394652139,"b'""I need a formal apology for the treatment.""'","b""Businessman with broken number plate alleges 'bribe trauma', cops deny it however""",link,https://timesofindia.indiatimes.com/city/mumbai/bizman-with-broken-number-plate-alleges-bribe-trauma-cops-deny-it/articleshow/61281148.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 6:56,137,3,5,124,7,0,1,0,5,0,0.115384615,city,mumbai
26781952138_10155957377582139,b'Women feel liberated when they go without bras but what about panties? Is releasing the breast as invigorating as going commando?\n\nvia The Times of India | Life & Style',b'Is going pantyless good or bad? Quora users share their experiences',link,https://timesofindia.indiatimes.com/life-style/health-fitness/how-good-it-is-to-go-pantyless-/photostory/61296073.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 6:49,225,13,5,212,10,0,2,0,1,0,0.423076923,life-style,health-fitness
26781952138_10155957364557139,b'Are you getting enough sleep?',b'Speaking Tree',link,https://www.speakingtree.in/blog/how-much-sleep-do-we-really-need-national-sleep-foundation-has-an-answer-for-you,10/28/17 6:44,1339,14,2,1310,18,2,11,2,0,0,0.409090909,,
26781952138_10155957334427139,b'Save yourself.',b'These cooking methods can turn your food toxic',link,https://timesofindia.indiatimes.com/life-style/health-fitness/these-5-cooking-methods-are-bad-for-your-food/photostory/60970185.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 6:33,132,8,9,126,6,0,0,0,0,0,0.5,life-style,health-fitness
26781952138_10155957283182139,b'The agreements will make it easier for the US to share classified data and that will facilitate sales of F-16 or the F-18 fighter jets to India.',"b""'US keen to move forward on key defence pacts with India'""",link,https://timesofindia.indiatimes.com/india/us-keen-to-move-forward-on-key-defence-pacts-with-india/articleshow/61300116.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 6:30,480,13,6,461,14,0,5,0,0,0,0.5,india,us-keen-to-move-forward-on-key-defence-pacts-with-india
26781952138_10155957192842139,,b'3 murders a day in Assam: Report',link,http://timesofindia.indiatimes.com/city/guwahati/3-murders-a-day-in-assam-report/articleshow/61282884.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 6:15,41,1,0,35,6,0,0,0,0,0,0.5,city,guwahati
26781952138_10155957256667139,"b""Bollywood hasn't always been very reasonable.""",b'38 Rare and funny Bollywood photo shoots from the past!',link,http://photogallery.indiatimes.com/celebs/celeb-themes/most-embarrassing-bwood-photo-shoots/articleshow/61087488.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 6:11,317,3,4,294,7,0,17,0,0,0,0.5,,
26781952138_10155957245662139,b'The fraud came to light when police were investigating a complaint filed against Oindrila by her husband.',b'Startup co-founder held for cheating husband and seven others',link,https://timesofindia.indiatimes.com/city/bengaluru/startup-co-founder-held-for-cheating-husband-and-7-others/articleshow/61281680.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 6:08,381,14,16,326,7,5,36,1,6,0,0.327272727,city,bengaluru
26781952138_10155957239977139,"b""Hardik has threatened to disrupt Congress' campaign rallies in poll-bound Gujarat unless it clarifies its stand""",b'Hardik Patel gives ultimatum to Congress to clarify stand on quota for Patidars',link,https://timesofindia.indiatimes.com/india/quota-for-patidars-hardik-patel-gives-ultimatum-to-congress/articleshow/61296552.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 6:05,360,88,15,223,5,1,129,0,2,0,0.481751825,india,quota-for-patidars-hardik-patel-gives-ultimatum-to-congress
26781952138_10155957190947139,,b'Tripura teachers to move SC to save jobs',link,https://timesofindia.indiatimes.com/city/agartala/tripura-teachers-to-move-sc-to-save-jobs/articleshow/61283932.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 6:00,47,1,5,39,8,0,0,0,0,0,0.5,city,agartala
26781952138_10155957202022139,b'Suhana looked gorgeous in a golden shimmery ensemble',"b""Suhana Khan steals the limelight at mommy Gauri Khan's starry Halloween party, see pictures""",link,http://photogallery.indiatimes.com/events/mumbai/suhana-khan-makes-heads-turn-at-mommy-gauri-khans-starry-halloween-party/articleshow/61292268.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 5:56,1750,52,6,1671,40,3,35,0,2,0,0.45625,,
